# BLASTN 2.11.0+
# Query: Eukaryotic translation initiation factor 3 subunit M OS=Coffea canephora GN=GSCOC_T00039693001 PE=3 SV=1
# Database: C.arabica/rna_db/db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 3 hits found
Eukaryotic	XM_027219636.1	99.674	1227	4	0	1	1227	192	1418	0.0	2244
Eukaryotic	XM_027223321.1	99.511	1227	6	0	1	1227	183	1409	0.0	2233
Eukaryotic	XM_027219635.1	98.313	1245	3	2	1	1227	193	1437	0.0	2167
# BLASTN 2.11.0+
# Query: Coffea canephora DH200=94 genomic scaffold, scaffold_3 OS=Coffea canephora GN=GSCOC_T00026435001 PE=4 SV=1
# Database: C.arabica/rna_db/db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
Coffea	XM_027260883.1	99.607	1527	6	0	1	1527	215	1741	0.0	2787
Coffea	XM_027263105.1	98.952	1527	16	0	1	1527	285	1811	0.0	2732
# BLASTN 2.11.0+
# Query: Coffea canephora DH200=94 genomic scaffold, scaffold_15 OS=Coffea canephora GN=GSCOC_T00019858001 PE=4 SV=1
# Database: C.arabica/rna_db/db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 11 hits found
Coffea	XM_027247701.1	100.000	303	0	0	1	303	419	721	7.10e-159	560
Coffea	XM_027254130.1	99.340	303	2	0	1	303	393	695	1.54e-155	549
Coffea	XM_027259488.1	94.719	303	16	0	1	303	415	717	3.42e-132	472
Coffea	XM_027252633.1	94.719	303	16	0	1	303	415	717	3.42e-132	472
Coffea	XR_003459894.1	91.419	303	17	4	1	303	322	615	9.79e-113	407
Coffea	XR_003459893.1	91.419	303	17	4	1	303	322	615	9.79e-113	407
Coffea	XR_003455525.1	91.419	303	17	4	1	303	321	614	9.79e-113	407
Coffea	XM_027264270.1	91.419	303	17	4	1	303	321	614	9.79e-113	407
Coffea	XM_027245461.1	91.419	303	17	4	1	303	319	612	9.79e-113	407
Coffea	XR_003459946.1	96.809	94	3	0	210	303	248	341	1.09e-37	158
Coffea	XR_003451715.1	94.681	94	5	0	1	94	539	632	2.36e-34	147
# BLASTN 2.11.0+
# Query: ATP-dependent Clp protease proteolytic subunit OS=Coffea canephora GN=GSCOC_T00032983001 PE=3 SV=1
# Database: C.arabica/rna_db/db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
ATP-dependent	XM_027242639.1	99.835	606	1	0	1	606	261	866	0.0	1114
ATP-dependent	XM_027239862.1	99.670	606	2	0	1	606	249	854	0.0	1109
# BLASTN 2.11.0+
# Query: Coffea canephora DH200=94 genomic scaffold, scaffold_5 OS=Coffea canephora GN=GSCOC_T00032341001 PE=4 SV=1
# Database: C.arabica/rna_db/db
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 4 hits found
Coffea	XM_027242031.1	100.000	504	0	0	1	504	591	1094	0.0	931
Coffea	XM_027242031.1	99.479	192	1	0	505	696	1198	1389	4.03e-95	350
Coffea	XM_027244728.1	98.016	504	10	0	1	504	608	1111	0.0	876
Coffea	XM_027244728.1	98.438	192	3	0	505	696	1215	1406	8.73e-92	339
# BLASTN 2.11.0+
